title,link,snippet
Machine Learning Systems,https://harvard-edge.github.io/cs249r_book/,Sneak Peek: Tiny Torch. Exercises to build your own machine learning system from scratch! New Hardware: Seeed TinyML Kit. Latest hands-on learning platform.
Interpretable Machine Learning,https://christophm.github.io/interpretable-ml-book/,Interpretable Machine Learning. A Guide for Making Black Box Models Explainable. Author. Christoph Molnar. About the Book. Summary. Machine learning is part of ...
Machine Learning CO2 Impact Calculator,https://mlco2.github.io/impact/,Machine Learning has in impact on our climate. Here's how to estimate your GPU's carbon emissions.
scikit-learn: machine learning in Python — scikit-learn 1.7.2 ...,http://scikit-learn.github.io/stable,"Machine Learning in Python · Simple and efficient tools for predictive data analysis · Accessible to everybody, and reusable in various contexts · Built on NumPy, ..."
Machine learning functions — Trino 477 Documentation,https://trinodb.github.io/docs.trino.io/current/functions/ml.html,The machine learning plugin provides machine learning functionality as an aggregation function. It enables you to train Support Vector Machine (SVM) based ...
Machine learning for molecular and materials science | Nature,https://dandavies99.github.io/files/2018_nature.pdf,"Jul 25, 2018 ... We summarize recent progress in machine learning for the chemical sciences. We outline machine-learning techniques that are suitable for addressing research ..."
ML-Helio | Machine Learning in Heliophysics,https://ml-helio.github.io/,"The goal of the ML- Helio conference is to leverage the advancements happening in disciplines such as machine learning, deep learning, statistical analysis."
Machine Learning at Brown University,https://stephenbach.github.io/cs142-s25-www/,"We explore the theory and practice of statistical machine learning, focusing on computational methods for supervised and unsupervised data analysis."
TensorFlow: A System for Large-Scale Machine Learning,https://readingxtra.github.io/docs/ml-gpu/tensorflow-osdi16.pdf,"Nov 4, 2016 ... TensorFlow is a machine learning system that operates at large scale and in heterogeneous environments. Tensor-. Flow uses dataflow graphs to ..."
Machine Learning for Artists,https://ml4a.github.io/,ml4a is a collection of free educational resources devoted to machine learning for artists. It contains an in-progress book which is being written by @ ...
a few useful things to Know about machine Learning,https://qiyanjun.github.io/2019f-UVA-CS6316-MachineLearning//Lectures/L20-AfewUseful.pdf,"Oct 2, 2012 ... as more data becomes available, more ambitious problems can be tackled. machine learning is widely used in computer science and other fields."
Stop explaining black box machine learning models for high stakes ...,https://csethics.github.io/docs/rudin2019.pdf,"May 13, 2019 ... ... machine learning, and provides several example applications where interpretable models could potentially replace black box models in ..."
How I learn machine learning | Vicki Boykis,https://veekaybee.github.io/2022/11/10/how-i-learn-machine-learning/,"Nov 10, 2022 ... My overarching goal as an MLE is to continuously work towards designing and deploying well-designed, and transparent machine learning systems."
“Probabilistic machine learning”: a book series by Kevin Murphy ...,https://probml.github.io/pml-book/,"pml-book. ""Probabilistic Machine Learning"" - a book series by Kevin Murphy. Project maintained by probml Hosted on GitHub Pages — Theme by mattgraham ..."
Applied Machine Learning Using mlr3 in R,https://mlr-org.github.io/mlr3book/,"This book will teach you about the mlr3 universe of packages, from machine learning methodology to implementations of complex algorithmic pipelines."
Mallet: MAchine Learning for LanguagE Toolkit | Mallet,https://mimno.github.io/Mallet/,"Mallet: MAchine Learning for LanguagE Toolkit. MALLET is a Java-based package for statistical natural language processing, document classification, clustering, ..."
COMS30035 - Machine Learning - Computer Science Department ...,https://uob-coms30035.github.io/,This unit seeks to acquaint students with machine learning algorithms which are important in many modern data and computer science applications.
MLU-Explain,https://mlu-explain.github.io/,"MLU-Explain exists to teach important machine learning concepts through visual essays in a fun, informative, and accessible manner."
Machine Learning with Adversaries: Byzantine Tolerant Gradient ...,https://id2223kth.github.io/papers/2017%20-%20Machine%20Learning%20with%20Adversaries_%20Byzantine%20Tolerant%20Gradient%20Descent.pdf,"We study the resilience to Byzantine failures of distributed implementations of. Stochastic Gradient Descent (SGD). So far, distributed machine learning ..."
6.7930/HST.956: Machine Learning for Healthcare,https://mlhcmit.github.io/,"956: Machine Learning for Healthcare. MIT Spring 2025. Graduate level; Units 4-0-8 (counts as an AUS2, AI+D_AUS, AAGS, and II ..."
Machine Learning @ VU | MLVU,https://mlvu.github.io/,The BSc course Machine Learning at the Vrije Universiteit Amsterdam.
Machine Learning for Beginners,https://microsoft.github.io/ML-For-Beginners/,"A 12-week, 26-lesson curriculum all about Machine Learning. In this curriculum, you will learn about what is sometimes called classic machine learning."
2 Interpretability – Interpretable Machine Learning,https://christophm.github.io/interpretable-ml-book/interpretability.html,"The more interpretable a machine learning model, the easier it is for someone to understand why certain decisions or predictions were made."
Introduction to Machine Learning with Scikit Learn,https://carpentries-incubator.github.io/machine-learning-novice-sklearn/,"An introduction to machine learning. Prerequisites: A basic understanding of Python. You will need to know how to write a for loop, if statement, use functions ..."
"DS-GA 1003: Machine Learning, Spring 2022",https://nyu-ds1003.github.io/spring2022/,"This course covers a wide variety of introductory topics in machine learning and statistical modeling, including statistical learning theory, convex ..."
Probabilistic Machine Learning: Advanced Topics,https://probml.github.io/pml-book/book2.html,"""Kevin Murphy has distilled the vast and confusing literature on machine learning and neural networks into a beautifully written and extremely clear textbook ..."
Stanford Machine Learning Group,https://stanfordmlgroup.github.io/,Stanford Machine Learning Group. Our mission is to significantly improve people's lives through our work in Artificial Intelligence. Professor Andrew Ng ...
Automatic Differentiation in Machine Learning: a Survey,https://gbaydin.github.io/assets/pdf/baydin-2018-ad-machinelearning.pdf,"Conventionally, many methods in machine learning have required the evaluation of derivatives and most of the traditional learning algorithms have relied on the ..."
Machine Learning Lunches at Vector,https://ml-lunch-vector.github.io/,The Machine Learning Lunch is a weekly 20-minute talk series for folks in the Vector Institute and University of Toronto ecosystem who are interested in ...
MLG Cambridge,https://cambridge-mlg.github.io/,4F13: Probabilistic Machine Learning. Taught by Zoubin Ghahramani and Carl Rasmussen. Course web page. Previous Events. Cambridge Ellis Unit Summer ...
The reproducibility crisis in Machine Learning,https://mariushobbhahn.github.io/2020-03-22-case_for_rep_ML/,"Mar 22, 2020 ... I want to argue why some of the code and ideas that are produced in current Machine Learning (ML) research are not reproducible and why this is a problem."
Qiskit Machine Learning 0.8.4,https://qiskit-community.github.io/qiskit-machine-learning/,"Qiskit Machine Learning introduces fundamental computational building blocks, such as Quantum Kernels and Quantum Neural Networks, used in various applications."
Cover - Machine Learning in Production: From Models to Products,https://mlip-cmu.github.io/book/,"Apr 8, 2025 ... by Christian Kästner, Carnegie Mellon University. What does it take to build software products with machine learning, not just models and ..."
"Machine Learning and the Physical Sciences, NeurIPS 2025",https://ml4physicalsciences.github.io/,Website for the Machine Learning and the Physical Sciences (MLPS) workshop at the 39th Conference on Neural Information Processing Systems (NeurIPS)
Fast Machine Learning Lab,https://fastmachinelearning.github.io/,"Fast ML Lab is a research collective of physicists, engineers, and computer scientists interested in deploying machine learning algorithms for unique and ..."
Oblivious Multi-Party Machine Learning on Trusted Processors,https://aasthakm.github.io/files/sec16-oblivML.pdf,"Aug 10, 2016 ... We propose data-oblivious machine learning algo- rithms for support vector machines, matrix factorization, neural networks, decision trees, and ..."
Getting machine learning to production | Vicki Boykis,http://veekaybee.github.io/2020/06/09/ml-in-prod/?mkt_tok=eyJpIjoiWkdJNE5USXlaRE5qTTJJMyIsInQiOiJMWUlmY0h1WmFvZXdFdnFBY05lYUdielJsMlJub1pcL29mVkRxTjVTUUZ5OGR4S3I4SkxBSWRHd25ybmZZa0QxMFNENittTnpxdFlUNkQxdnFBUDlkazdLR1ZLeGRNalFYaVB1NURKY04xY3lNekZrdHNVUDNwZjFFbXBzOGJGcW0ifQ%3D%3D,"Jun 9, 2020 ... This post covers the process of creating an end-to-end proof-of-concept (POC) machine learning product, Venti, which is a Medium-like site that generates VC ..."
The Problem of Induction and Machine Learning | Vaden Masrani,https://vmasrani.github.io/blog/2021/problem-of-induction/,"Oct 17, 2021 ... So what exactly did Popper refute? Then why is it common to hear that “Popper refuted induction”? What about machine learning? Refuted by Popper ..."
Understanding Data Scientists' Use of Interpretability Tools for ...,https://harmanpk.github.io/Papers/CHI2020_Interpretability.pdf,•Computing methodologies → Machine learning;. •Human-centered computing → User studies;. INTRODUCTION. Machine learning (ML) has become ubiquitous in our every-.
Penn Machine Learning Benchmarks,https://epistasislab.github.io/pmlb/,Penn Machine Learning Benchmarks (PMLB) is a large collection of curated benchmark datasets for evaluating and comparing supervised machine learning algorithms.
Delayed Impact of Fair Machine Learning – The Berkeley Artificial ...,https://bairblog.github.io/2018/05/17/delayed-impact/,"May 17, 2018 ... In this post, we talk about our recent work on aligning decisions made by machine learning with long term social welfare goals."
